,Song Title,Artist,Year,Position
0,Goodnight Irene,Gordon Jenkins and The Weavers,1950,1
1,Mona Lisa,Nat King Cole,1950,2
2,Third Man Theme,Anton Karas,1950,3
3,Sam's Song,Gary and Bing Crosby,1950,4
4,Simple Melody,Gary and Bing Crosby,1950,5
5,"Music, Music, Music",Teresa Brewer,1950,6
6,Third Man Theme,Guy Lombardo,1950,7
7,Chattanoogie Shoe Shine Boy,Red Foley,1950,8
8,Harbor Lights,Sammy Kaye,1950,9
9,It Isn't Fair,Sammy Kaye and Don Cornell,1950,10
10,If I Knew You Were Coming I'd've Baked A Cake,Eileen Barton,1950,11
11,Bonaparte's Retreat,Kay Starr,1950,12
12,"Tzena, Tzena, Tzena",Gordon Jenkins and The Weavers,1950,13
13,There's No Tomorrow,Tony Martin,1950,14
14,The Thing,Phil Harris,1950,15
15,Sentimental Me,Ames Brothers,1950,16
16,I Wanna Be Loved,Andrews Sisters and Gordon Jenkins,1950,17
17,Tennessee Waltz,Patti Page,1950,18
18,"I Can Dream, Can't I",Andrews Sisters and Gordon Jenkins,1950,19
19,I'll Never Be Free,Tennessee Ernie Ford and Kay Starr,1950,20
20,All My Love,Patti Page,1950,21
21,My Foolish Heart,Gordon Jenkins,1950,22
22,Rag Mop,Ames Brothers,1950,23
23,Bewitched,Bill Snyder,1950,24
24,Hoop-Dee-Doo,Perry Como,1950,25
25,Bewitched,Gordon Jenkins,1950,26
26,Can Anyone Explain?,Ames Brothers,1950,27
27,My Foolish Heart,Billy Eckstine,1950,28
28,Dear Hearts And Gentle People,Bing Crosby,1950,29
29,Cry Of The Wild Goose,Frankie Laine,1950,30
0,Too Young,Nat King Cole,1951,1
1,Because Of You,Tony Bennett,1951,2
2,How High The Moon,Les Paul and Mary Ford,1951,3
3,Come On-a My House,Rosemary Clooney,1951,4
4,Be My Love,Mario Lanza,1951,5
5,On Top Of Old Smoky,Weavers,1951,6
6,"Cold, Cold Heart",Tony Bennett,1951,7
7,If,Perry Como,1951,8
8,Loveliest Night Of The Year,Mario Lanza,1951,9
9,Tennessee Waltz,Patti Page,1951,10
10,Jezebel,Frankie Laine,1951,11
11,I Get Ideas,Tony Martin,1951,12
12,Mockin' Bird Hill,Les Paul and Mary Ford,1951,13
13,Mockin' Bird Hill,Patti Page,1951,14
14,My Heart Cries For You,Guy Mitchell and Mitch Miller,1951,15
15,(It's No) Sin,Eddy Howard,1951,16
16,Sound Off,Vaughn Monroe,1951,17
17,Sweet Violets,Dinah Shore,1951,18
18,The World Is Waiting For The Sunrise,Les Paul and Mary Ford,1951,19
19,"My Truly, Truly Fair",Guy Mitchell and Mitch Miller,1951,20
20,(It's No) Sin,Four Aces and Al Alberta,1951,21
21,Aba Daba Honeymoon,Debbie Reynolds and Carleton Carpenter,1951,22
22,"Rose, Rose I Love You",Frankie Laine,1951,23
23,Down Yonder,Del Wood,1951,24
24,I Apologize,Billy Eckstine,1951,25
25,Would I Love You,Patti Page,1951,26
26,You're Just In Love,Perry Como and The Fontane Sisters,1951,27
27,Undecided,Ames Brothers and Les Brown,1951,28
28,The Thing,Phil Harris,1951,29
29,Because Of You,Les Baxter,1951,30
0,Blue Tango,Leroy Anderson,1952,1
1,Wheel Of Fortune,Kay Starr,1952,2
2,Cry,Johnnie Ray,1952,3
3,You Belong To Me,Jo Stafford,1952,4
4,"Auf Wiederseh'n, Sweetheart",Vera Lynn,1952,5
5,Half As Much,Rosemary Clooney,1952,6
6,Wish You Were Here,Eddie Fisher and Hugo Winterhalter,1952,7
7,I Went To Your Wedding,Patti Page,1952,8
8,Here In My Heart,Al Martino,1952,9
9,Delicado,Percy Faith,1952,10
10,Kiss Of Fire,Georgia Gibbs,1952,11
11,Anytime,Eddie Fisher and Hugo Winterhalter,1952,12
12,Tell Me Why,Four Aces,1952,13
13,Blacksmith Blues,Ella Mae Morse,1952,14
14,Jambalaya,Jo Stafford,1952,15
15,Botch-a-me,Rosemary Clooney,1952,16
16,A Guy Is A Guy,Doris Day,1952,17
17,The Little White Cloud That Cried,Johnnie Ray,1952,18
18,High Noon,Frankie Laine,1952,19
19,I'm Yours,Eddie Fisher and Hugo Winterhalter,1952,20
20,Glow Worm,Mills Brothers,1952,21
21,It's In The Book,Johnny Standley,1952,22
22,Slow Poke,Pee Wee King,1952,23
23,Walkin' My Baby Back Home,Johnnie Ray,1952,24
24,Meet Mr. Callaghan,Les Paul,1952,25
25,I'm Yours,Don Cornell,1952,26
26,I'll Walk Alone,Don Cornell,1952,27
